productUrl,reviewTitle,reviewUrl,reviewDate,reviewText,imageLink,productName
http://www.amazon.com/BLU-Studio-6-0-HD-Smartphone/dp/B00PYWQ7R4,Sorry Samsung I have a new favorite!,http://www.amazon.com/BLU-Studio-6-0-HD-Smartphone/product-reviews/B00PYWQ7R4," on July 20, 2014","OK so after having this phone for 11 days now I figured I should get around to making an honest review. To give some context I currently have a Samsung Galaxy S4, my wife has a Nexus 5, my older daughter has an IPhone, and my younger daughter has a Blu Studio 5.0 II (love that phone) I had been researching this phone since it was announced. So I was very excited to get it 2 days after ordering it via Amazon prime for only $218 shipped. When I got the phone I was a little scared because I could not get it to turn on right away as almost all other phones had been able to do out of the box. So I threw it on the charger for an hour and viola it boots right up... Just a dead battery, no big deal. (This may be what was wrong for others who gave this phone a bad review),So onto the phone, WOW, what a display! It is amazing... Very bright and the colors seem spot on to me. It is definitely brighter than the super AMOLED screen on the Samsung Galaxy S4. At the time KitKat was not yet available so after booting up I had to install the update to get the Google services to work. No big deal again... Took less than 10 minutes. Now that the KitKat OS update is available (yay!) This may be a moot point. Speaking of KitKat it became available a few days later. That install went very smooth... A small side note a SD card is required to install KitKat.,I would assume everyone who buys this phone will increase the factory 4 gig storage with a new SD card anyway.,Kitkat seems very, very good on this phone without any bugs *see update at end of review* that I have seen unlike when I upgraded to KitKat on my Galaxy S4... I had a problem with my phone not wanting to wake up, hense my looking for a new phone.,I love the near-stock Android experience that Blu puts on their phone.",http://ecx.images-amazon.com/images/I/41KyM6T9JHL._SY300_.jpg,BLU Studio 6.0 HD Smartphone - Unlocked - Black
http://www.amazon.com/BLU-Studio-6-0-HD-Smartphone/dp/B00PYWQ7R4,Almost returned it!...But then...,http://www.amazon.com/BLU-Studio-6-0-HD-Smartphone/product-reviews/B00PYWQ7R4," on September 27, 2014","This is a fantastic solid phone.  Like any good customer of my service provider (stupid me) I went into my local phone store and asked for a ""chip swap"" from micro to a full size sim.  First the rep looked at me like I was from Mars for NOT buying the phone from them, said he couldn't guarantee it work on their network.  I offered my assurances, based on my research, but thought his head was going to explode when he realized it was a dual sim phone.,Once they swapped out the chip and scanned the IMEI code for the phone I was out the door.  Voice and TXT worked perfectly so I assumed data was working as well.  As another reviewer clearly pointed out 3G HSPA+ (4G) like speeds from the same network I use.  Only when I got back to work did I realize WIFI worked, but wireless data did not.,Trusting this had something to do with the ""update"" everyone else mentioned in their reviews, I promptly connected via WIFI, downloaded the update and STILL didn't have wireless data access. I even created a new a APN for it but nothing worked.,By the end of day I felt so completely frustrated I filed an Amazon return, then returned to the providers store and had them re-enable my old phone with another micro sim and everything worked....No muss, no fuss.  Like the rep would want to help me get the phone working anyway.,Next morning I'm at my desk at home and suddenly remember I had a micro-to-full size sim converter somewhere in my office.  After locating the little plastic jewel, I put the sim back into my Blu Studio phone and powered it up....IT WORKED! EVERYTHING WORKED!  I removed the refund request and put my 64GB micro SD in.,I'm typically not the paranoid ""big brother"" type, but here's what I've discovered.",http://ecx.images-amazon.com/images/I/41KyM6T9JHL._SY300_.jpg,BLU Studio 6.0 HD Smartphone - Unlocked - Black
http://www.amazon.com/BLU-Studio-6-0-HD-Smartphone/dp/B00PYWQ7R4,READ THIS,http://www.amazon.com/BLU-Studio-6-0-HD-Smartphone/product-reviews/B00PYWQ7R4," on July 30, 2014","FIRST IMPRESSIONS,ok, i've read all the reviews as well as researched this phone on youtube.  i must say, this is a very good phone.  it doesn't come loaded with bloatware, it's very simplistic, and it's only $226.  this is phone is a bargain.  i've compared this to lg g3, lg pro 2, galaxy mega, galaxy note 3, and the huawei ascend mate2.  asides from the huawei ascend mate2, this phone cost half or less than half of the brand name phablets (the huawei cost $300 btw - also a very good phone).  now, of course, this phone is no where as nearly as powerful or sharp (graphics wise) as the brand name phones i've mentioned.  but, those phones cost $400-$700 and comes loaded with bloatware.  plus, unless you play a lot of graphics intense games, you really don't need a phone with pixels above 720 x 1280 - which is what this phone is, btw.,1 STAR REVIEWS AND ISSUES,Now, as to those unfavorable reviews regarding the phone's inability to access the google playstore, i did not experience that issue.  BLU must have did a software update. i did not experience any issues with the phone whatsoever.  however, the phone doesn't run the latest version of android out the box.  it comes as android 4.2.2 (or jellybean).  This can be easily remedied by doing a software update. go to 'settings' > 'about device' > 'wireless update'.  you will notice a difference, as the phone does run smoother with the latest version of android 4.4.2 (android kit kat).,PROCESSING SPEED AND GRAPHICS ARE SIMILAR TO...,if i had to compare this to another phone, i would say it's kind of like the galaxy note 2.  i have a galaxy note 2 and it runs about the same, graphics wise and speed wise.  of course this phone has a .",http://ecx.images-amazon.com/images/I/41KyM6T9JHL._SY300_.jpg,BLU Studio 6.0 HD Smartphone - Unlocked - Black
http://www.amazon.com/BLU-Studio-6-0-HD-Smartphone/dp/B00PYWQAJY,Sorry Samsung I have a new favorite!,http://www.amazon.com/BLU-Studio-6-0-HD-Smartphone/product-reviews/B00PYWQAJY," on July 20, 2014","OK so after having this phone for 11 days now I figured I should get around to making an honest review. To give some context I currently have a Samsung Galaxy S4, my wife has a Nexus 5, my older daughter has an IPhone, and my younger daughter has a Blu Studio 5.0 II (love that phone) I had been researching this phone since it was announced. So I was very excited to get it 2 days after ordering it via Amazon prime for only $218 shipped. When I got the phone I was a little scared because I could not get it to turn on right away as almost all other phones had been able to do out of the box. So I threw it on the charger for an hour and viola it boots right up... Just a dead battery, no big deal. (This may be what was wrong for others who gave this phone a bad review),So onto the phone, WOW, what a display! It is amazing... Very bright and the colors seem spot on to me. It is definitely brighter than the super AMOLED screen on the Samsung Galaxy S4. At the time KitKat was not yet available so after booting up I had to install the update to get the Google services to work. No big deal again... Took less than 10 minutes. Now that the KitKat OS update is available (yay!) This may be a moot point. Speaking of KitKat it became available a few days later. That install went very smooth... A small side note a SD card is required to install KitKat.,I would assume everyone who buys this phone will increase the factory 4 gig storage with a new SD card anyway.,Kitkat seems very, very good on this phone without any bugs *see update at end of review* that I have seen unlike when I upgraded to KitKat on my Galaxy S4... I had a problem with my phone not wanting to wake up, hense my looking for a new phone.,I love the near-stock Android experience that Blu puts on their phone.",http://ecx.images-amazon.com/images/I/41Mb3XqQ9dL._SY300_.jpg,BLU Studio 6.0 HD Smartphone - Unlocked - White
http://www.amazon.com/BLU-Studio-6-0-HD-Smartphone/dp/B00PYWQAJY,Almost returned it!...But then...,http://www.amazon.com/BLU-Studio-6-0-HD-Smartphone/product-reviews/B00PYWQAJY," on September 27, 2014","This is a fantastic solid phone.  Like any good customer of my service provider (stupid me) I went into my local phone store and asked for a ""chip swap"" from micro to a full size sim.  First the rep looked at me like I was from Mars for NOT buying the phone from them, said he couldn't guarantee it work on their network.  I offered my assurances, based on my research, but thought his head was going to explode when he realized it was a dual sim phone.,Once they swapped out the chip and scanned the IMEI code for the phone I was out the door.  Voice and TXT worked perfectly so I assumed data was working as well.  As another reviewer clearly pointed out 3G HSPA+ (4G) like speeds from the same network I use.  Only when I got back to work did I realize WIFI worked, but wireless data did not.,Trusting this had something to do with the ""update"" everyone else mentioned in their reviews, I promptly connected via WIFI, downloaded the update and STILL didn't have wireless data access. I even created a new a APN for it but nothing worked.,By the end of day I felt so completely frustrated I filed an Amazon return, then returned to the providers store and had them re-enable my old phone with another micro sim and everything worked....No muss, no fuss.  Like the rep would want to help me get the phone working anyway.,Next morning I'm at my desk at home and suddenly remember I had a micro-to-full size sim converter somewhere in my office.  After locating the little plastic jewel, I put the sim back into my Blu Studio phone and powered it up....IT WORKED! EVERYTHING WORKED!  I removed the refund request and put my 64GB micro SD in.,I'm typically not the paranoid ""big brother"" type, but here's what I've discovered.",http://ecx.images-amazon.com/images/I/41Mb3XqQ9dL._SY300_.jpg,BLU Studio 6.0 HD Smartphone - Unlocked - White
http://www.amazon.com/BLU-Studio-6-0-HD-Smartphone/dp/B00PYWQAJY,READ THIS,http://www.amazon.com/BLU-Studio-6-0-HD-Smartphone/product-reviews/B00PYWQAJY," on July 30, 2014","FIRST IMPRESSIONS,ok, i've read all the reviews as well as researched this phone on youtube.  i must say, this is a very good phone.  it doesn't come loaded with bloatware, it's very simplistic, and it's only $226.  this is phone is a bargain.  i've compared this to lg g3, lg pro 2, galaxy mega, galaxy note 3, and the huawei ascend mate2.  asides from the huawei ascend mate2, this phone cost half or less than half of the brand name phablets (the huawei cost $300 btw - also a very good phone).  now, of course, this phone is no where as nearly as powerful or sharp (graphics wise) as the brand name phones i've mentioned.  but, those phones cost $400-$700 and comes loaded with bloatware.  plus, unless you play a lot of graphics intense games, you really don't need a phone with pixels above 720 x 1280 - which is what this phone is, btw.,1 STAR REVIEWS AND ISSUES,Now, as to those unfavorable reviews regarding the phone's inability to access the google playstore, i did not experience that issue.  BLU must have did a software update. i did not experience any issues with the phone whatsoever.  however, the phone doesn't run the latest version of android out the box.  it comes as android 4.2.2 (or jellybean).  This can be easily remedied by doing a software update. go to 'settings' > 'about device' > 'wireless update'.  you will notice a difference, as the phone does run smoother with the latest version of android 4.4.2 (android kit kat).,PROCESSING SPEED AND GRAPHICS ARE SIMILAR TO...,if i had to compare this to another phone, i would say it's kind of like the galaxy note 2.  i have a galaxy note 2 and it runs about the same, graphics wise and speed wise.  of course this phone has a .",http://ecx.images-amazon.com/images/I/41Mb3XqQ9dL._SY300_.jpg,BLU Studio 6.0 HD Smartphone - Unlocked - White
http://www.amazon.com/BLU-Studio-5-0Ce-Unlocked-Black/dp/B00MAHW9AA,Great phone for the price.  (See update at bottom of review),http://www.amazon.com/BLU-Studio-5-0Ce-Unlocked-Black/product-reviews/B00MAHW9AA," on October 24, 2014","I was pleasantly surprised with the quality and usability of this phone.  The specs are pretty darn good, other than it's modest half-gig of RAM.  It is quite responsive, and the screen is pretty good as well.  The faults are noticeable, but certainly not deal breakers.  If you are looking for a good, new, unlocked Android smartphone for under $100, this is a great option.  I am using it with PureTalk GSM (ATT network), on a $10/month voice and text plan, and this has worked great.,Pros:,Thin and sleek,Fast processor,Fine call quality,Good external speaker,Nice big screen,Responsive UI,Good WiFi and cell reception,Dual SIM,Includes screen protector,Good battery life.,LESS THAN $100!!!!,Cons:,Limited screen viewing angle,Limited RAM,Not HD/Retina resolution,No auto-brightness,No port covers (allows dust etc. into the phone),Tips:,There a couple things that you can do to ensure that this phone performs well despite it's shortcomings.  First, in developer options change ""Window Animation Scale"" and ""Transition Animation Scale""  from 1x to .5x.  This will allow the UI to scroll smoothly and remain more responsive even when background apps are running.  Turn on ""Force GPU Rendering"" in developer options as well to help with this.  Because of the limited RAM it may also be beneficial to get an App Cache cleaner, and limit the number of things allowed to run in the background in the developer options.,Update: 10/26/14,8 days after I received this phone, and 2 days after I reviewed it, it failed on me.  The screen started flashing scrambled colored lines, and became unusable.",http://ecx.images-amazon.com/images/I/41e0RDOtCRL._SY300_.jpg,"BLU Studio 5.0Ce Unlocked Phone, 4 GB, Black"
http://www.amazon.com/BLU-Studio-5-0Ce-Unlocked-Black/dp/B00MAHW9AA,My new favorite phone,http://www.amazon.com/BLU-Studio-5-0Ce-Unlocked-Black/product-reviews/B00MAHW9AA," on February 17, 2015","  I bought this phone, and was excited when I opened it. It came with everything, including the earphones, case etc. I was surprised by the size of the phone, which I also liked because my old phone had a screen display of 4.5"". Another thing about the screen, its not a high resolution, so would recommend the phone with hd display. But other than that, the screen is fine too me, everything looks nice on large screen. The camera is also great too, and video records good too.",http://ecx.images-amazon.com/images/I/41e0RDOtCRL._SY300_.jpg,"BLU Studio 5.0Ce Unlocked Phone, 4 GB, Black"
http://www.amazon.com/BLU-Studio-5-0Ce-Unlocked-Black/dp/B00MAHW9AA,Not too bad for the price...,http://www.amazon.com/BLU-Studio-5-0Ce-Unlocked-Black/product-reviews/B00MAHW9AA," on October 19, 2014","So I have spent  a few days with this phone now. My verdict... It's not a bad device, Mind you for around $100, its not that bad.The local phone shops are selling these phones for twice this.,I do have a few grips though.,So my first complaint is the screen... yeah it's pretty bad.,Resolution aside, knowing I was getting a lower resolution device (basically 480P kind of resolution) I wasn't too upset with that, but yeah it's bad.,The viewing angle is where the issue is, if you're not looking at it dead on, the image looks like the typical ""old school"",LCD, where the colors are inverted, but the image quality even dead on is kind of washed out,,but the touch screen is really where this phone wins no love with me. It seems as if the sensitivity could have been tweaked,a little, but there is no way to adjust that in the menus. Also, again with the angle of view if you are trying to complete an action,with the touch screen, and the viewing angle is not dead on, then you're not activating the proper buttons on screen... and that damned back button! Sometimes it just wont work...,This complaint is a short one, but it's the front camera, the resolution is horrible, especially if the light is indoor.,I also have to report that the sound through the earphone jack is not great, there is just no bass, I have heard equal sound,quality from those cheap radios they give away for contests, and such.",http://ecx.images-amazon.com/images/I/41e0RDOtCRL._SY300_.jpg,"BLU Studio 5.0Ce Unlocked Phone, 4 GB, Black"
http://www.amazon.com/BLU-Studio-5-0Ce-Unlocked-Black/dp/B00MAHW9AA,Three Stars,http://www.amazon.com/BLU-Studio-5-0Ce-Unlocked-Black/product-reviews/B00MAHW9AA," on January 28, 2015",  I got the phone but the charger is different entrance for what we use in th US,http://ecx.images-amazon.com/images/I/41e0RDOtCRL._SY300_.jpg,"BLU Studio 5.0Ce Unlocked Phone, 4 GB, Black"
